稽查日期,city,district,檢驗點,normalized_check_point,大腸桿菌群,ecoli_value_type,ecoli_numeric_value,ecoli_gt_1,總菌落數,自由有效餘氯（數值）,氫離子濃度指數（數值）
110年1月,臺北市,中山區,新生北路三段101號,新生北路3段101號,<1,less_than,1,0,<1,0.56,7.4
110年1月,臺北市,內湖區,內溝里康樂街206-4號旁附近,內溝里康樂街206-4號旁附近,<1,less_than,1,0,<1,0.65,7.4
110年1月,臺北市,內湖區,康寧路3段99巷17弄26號旁,康寧路3段99巷17弄26號旁,<1,less_than,1,0,<1,0.56,7.5
110年1月,臺北市,松山區,民權東路5段41-1號,民權東路5段41-1號,<1,less_than,1,0,<1,0.58,7.5
110年1月,臺北市,松山區,臺北市松山區南京東路4段52巷16弄口,南京東路4段52巷16弄口,<1,less_than,1,0,<1,0.58,7.4
110年1月,臺北市,南港區,中坡南路51號,中坡南路51號,<1,less_than,1,0,<1,0.49,7.5
110年1月,臺北市,大安區,建國南路1段354號,建國南路1段354號,<1,less_than,1,0,<1,0.66,7.4
110年1月,臺北市,大安區,師大路107號,師大路107號,<1,less_than,1,0,<1,0.68,7.4
110年1月,臺北市,文山區,木柵路1段280號,木柵路1段280號,<1,less_than,1,0,<1,0.6,7.3
110年1月,臺北市,文山區,景福街19號1樓,景福街19號1樓,<1,less_than,1,0,<1,0.62,7.3
110年1月,臺北市,文山區,興隆路2段234號,興隆路2段234號,<1,less_than,1,0,<1,0.63,7.3
110年1月,臺北市,信義區,莊敬路393號,莊敬路393號,<1,less_than,1,0,<1,0.65,7.4
110年1月,臺北市,萬華區,西園路1段127號,西園路1段127號,<1,less_than,1,0,<1,0.59,7.5
110年1月,臺北市,萬華區,西寧南路124號,西寧南路124號,<1,less_than,1,0,<1,0.55,7.5
110年1月,臺北市,萬華區,西藏路171號,西藏路171號,<1,less_than,1,0,<1,0.66,7.5
110年1月,臺北市,萬華區,長泰街8號,長泰街8號,<1,less_than,1,0,<1,0.62,7.5
110年1月,臺北市,萬華區,莒光路176號,莒光路176號,<1,less_than,1,0,<1,0.66,7.6
110年1月,臺北市,萬華區,萬大路423巷115號,萬大路423巷115號,<1,less_than,1,0,<1,0.59,7.5
110年1月,臺北市,大同區,大龍街126號,大龍街126號,<1,less_than,1,0,<1,0.47,7.2
110年1月,臺北市,大同區,延平北路2段61巷16號,延平北路2段61巷16號,<1,less_than,1,0,<1,0.39,7.2
110年1月,臺北市,大同區,昌吉街118號,昌吉街118號,<1,less_than,1,0,<1,0.45,7.2
110年1月,臺北市,大同區,哈密街59巷﹝龍塘綠地﹞,哈密街59巷﹝龍塘綠地﹞,<1,less_than,1,0,<1,0.39,7.2
110年1月,臺北市,大同區,迪化街1段268號,迪化街1段268號,<1,less_than,1,0,<1,0.41,7.2
110年1月,臺北市,中山區,長安西路36號,長安西路36號,<1,less_than,1,0,<1,0.49,7.1
110年1月,臺北市,士林區,後港街38巷臨5之1號,後港街38巷臨5之1號,<1,less_than,1,0,<1,0.4,7.2
110年1月,臺北市,士林區,天母東路69巷30號,天母東路69巷30號,<1,less_than,1,0,<1,0.46,7
110年1月,臺北市,士林區,至善路2段322巷口,至善路2段322巷口,<1,less_than,1,0,<1,0.49,7.5
110年1月,臺北市,士林區,華齡街2巷口,華齡街2巷口,<1,less_than,1,0,<1,0.37,7.4
110年1月,臺北市,士林區,中山北路5段460巷1號,中山北路5段460巷1號,<1,less_than,1,0,<1,0.6,7
