稽查日期,檢驗點,大腸桿菌群,總菌落數,自由有效餘氯（數值）,氫離子濃度指數（數值）
110年1月,新生北路三段101號,<1,<1,0.56,7.4
110年1月,內溝里康樂街206-4號旁附近,<1,<1,0.65,7.4
110年1月,康寧路3段99巷17弄26號旁,<1,<1,0.56,7.5
110年1月,民權東路5段41-1號,<1,<1,0.58,7.5
110年1月,臺北市松山區南京東路4段52巷16弄口,<1,<1,0.58,7.4
110年1月,中坡南路51號,<1,<1,0.49,7.5
110年1月,建國南路1段354號,<1,<1,0.66,7.4
110年1月,師大路107號,<1,<1,0.68,7.4
110年1月,木柵路1段280號,<1,<1,0.6,7.3
110年1月,景福街19號1樓,<1,<1,0.62,7.3
110年1月,興隆路2段234號,<1,<1,0.63,7.3
110年1月,莊敬路393號,<1,<1,0.65,7.4
110年1月,西園路1段127號,<1,<1,0.59,7.5
110年1月,西寧南路124號,<1,<1,0.55,7.5
110年1月,西藏路171號,<1,<1,0.66,7.5
110年1月,長泰街8號,<1,<1,0.62,7.5
110年1月,莒光路176號,<1,<1,0.66,7.6
110年1月,萬大路423巷115號,<1,<1,0.59,7.5
110年1月,大龍街126號,<1,<1,0.47,7.2
110年1月,延平北路2段61巷16號,<1,<1,0.39,7.2
110年1月,昌吉街118號,<1,<1,0.45,7.2
110年1月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.39,7.2
110年1月,迪化街1段268號,<1,<1,0.41,7.2
110年1月,長安西路36號,<1,<1,0.49,7.1
110年1月,後港街38巷臨5之1號,<1,<1,0.4,7.2
110年1月,天母東路69巷30號,<1,<1,0.46,7
110年1月,至善路2段322巷口,<1,<1,0.49,7.5
110年1月,華齡街2巷口,<1,<1,0.37,7.4
110年1月,中山北路5段460巷1號,<1,<1,0.6,7
110年1月,行義路一段五福宮旁,<1,<1,0.52,7
110年1月,大湖街116巷內,<1,<1,0.54,7.6
110年1月,永吉路120巷92號,<1,<1,0.61,7.6
110年1月,研究院路二段1號,<1,<1,0.59,7.6
110年1月,興東街1號對面,<1,<1,0.55,7.7
110年1月,民族東路臨41號,<1,<1,0.62,7.5
110年1月,延壽街373號,<1,<1,0.61,7.5
110年1月,臺北市松山區八德路2段364巷5弄29號對面,<1,<1,0.5,7.7
110年1月,桂林路167巷14號（三清宮）,<1,<1,0.64,7.7
110年1月,辛亥路二段171巷21號對面,<1,<1,0.62,7.6
110年1月,和平東路三段308巷15弄涼亭旁,<1,<1,0.46,7.7
110年1月,思源街1號,<1,<1,0.63,7.5
110年1月,木新路3段55號,<1,<1,0.54,7.7
110年1月,羅斯福路六段268號,<1,<1,0.64,7.7
110年1月,至善路二段449號,<1,<1,0.58,7.5
110年1月,格致路198號,<1,<1,0.65,7.2
110年1月,中山北路1段110-7號,<1,<1,0.55,7.3
110年1月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.61,7.6
110年2月,新生北路三段101號,<1,<1,0.61,7.3
110年2月,康寧路3段99巷17弄26號旁,<1,<1,0.5,7.3
110年2月,康樂街236-5號附近（公車站旁）,<1,<1,0.5,7.3
110年2月,民權東路5段41-1號,<1,<1,0.62,7.4
110年2月,臺北市松山區南京東路4段52巷16弄口,<1,<1,0.61,7.3
110年2月,中坡南路51號,<1,<1,0.5,7.2
110年2月,西園路1段127號,<1,<1,0.7,7.4
110年2月,西寧南路124號,<1,<1,0.51,7.4
110年2月,西藏路171號,<1,<1,0.64,7.4
110年2月,長泰街8號,<1,<1,0.6,7.3
110年2月,莒光路176號,<1,<1,0.58,7.4
110年2月,萬大路423巷115號,<1,<1,0.59,7.2
110年2月,大龍街126號,<1,<1,0.6,7.5
110年2月,延平北路2段61巷16號,<1,<1,0.47,7.5
110年2月,昌吉街118號,<1,<1,0.6,7.5
110年2月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.5,7.4
110年2月,迪化街1段268號,<1,<1,0.47,7.5
110年2月,建國南路1段354號,<1,<1,0.61,7.5
110年2月,師大路107號,<1,<1,0.58,7.5
110年2月,長安西路36號,<1,<1,0.58,7.5
110年2月,木柵路1段280號,<1,<1,0.59,7.4
110年2月,景福街19號1樓,<1,<1,0.62,7.4
110年2月,興隆路2段234號,<1,<1,0.62,7.5
110年2月,莊敬路393號,<1,<1,0.63,7.5
110年2月,中山北路5段320號,<1,<1,0.59,7
110年2月,天母東路69巷30號,<1,<1,0.62,7.4
110年2月,至善路2段322巷口,<1,<1,0.5,7.5
110年2月,後港街38巷臨5之1號,<1,<1,0.61,7.3
110年2月,華齡街2巷口,<1,<1,0.58,7.4
110年2月,行義路1號,<1,<1,0.61,7.1
110年2月,大湖街116巷內,<1,<1,0.56,7.8
110年2月,永吉路120巷92號,<1,<1,0.51,7.3
110年2月,研究院路二段1號,<1,<1,0.5,7.5
110年2月,興東街1號對面,,,0.54,7.7
110年2月,民族東路臨41號,<1,<1,0.58,7.3
110年2月,延壽街373號,<1,<1,0.58,7.7
110年2月,臺北市松山區八德路2段364巷5弄29號對面,<1,<1,0.55,7.8
110年2月,桂林路167巷14號（三清宮）,<1,<1,0.61,7.6
110年2月,辛亥路二段171巷21號對面,<1,<1,0.48,7.3
110年2月,和平東路三段308巷15弄涼亭旁,<1,<1,0.51,7.6
110年2月,思源路1號,<1,<1,0.69,7.6
110年2月,木新路3段55號,<1,<1,0.52,7.6
110年2月,羅斯福路六段268號,<1,<1,0.62,7.6
110年2月,至善路二段449號,<1,<1,0.56,7.6
110年2月,格致路198號,<1,<1,0.58,7.2
110年2月,中山北路1段110-7號,<1,<1,0.56,7.6
110年2月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.51,7.6
110年3月,大湖街116巷內,<1,<1,0.6,7.5
110年3月,永吉路120巷92號,<1,<1,0.6,7.2
110年3月,研究院路二段1號,<1,<1,0.4,7.4
110年3月,興東街1號對面,<1,<1,0.5,7.5
110年3月,長興街131號,<1,<1,0.59,7.3
110年3月,思源街1號,<1,<1,0.67,7.3
110年3月,新北市新店區直潭路127號,<1,<1,0.67,7.2
110年3月,至善路3段110號,<1,<1,0.65,7.3
110年3月,菁山路101巷79號,<1,<1,0.63,7.4
110年3月,泉源路260號,<1,<1,0.67,7.5
110年3月,鹿角坑加壓站 竹子湖路75-1號對面,<1,<1,0.69,7.9
110年3月,民族東路臨41號,<1,<1,0.56,7.5
110年3月,延壽街373號,<1,<1,0.57,7.6
110年3月,臺北市松山區八德路2段364巷5弄29號對面,<1,<1,0.51,7.5
110年3月,桂林路167巷14號（三清宮）,<1,<1,0.53,7.2
110年3月,辛亥路二段171巷21號對面,<1,<1,0.58,7.3
110年3月,和平東路三段308巷15弄涼亭旁,<1,<1,0.5,7.7
110年3月,思源街1號,<1,<1,0.52,7.7
110年3月,木新路3段55號,<1,<1,0.53,7.7
110年3月,羅斯福路六段268號,<1,<1,0.53,7.7
110年3月,至善路二段449號,<1,<1,0.55,7.4
110年3月,格致路198號,<1,<1,0.66,7.1
110年3月,中山北路1段110-7號,<1,<1,0.49,7.4
110年3月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.58,7.4
110年3月,新生北路三段101號,<1,<1,0.54,7.4
110年3月,內溝里康樂街206-4號旁附近,<1,<1,0.56,7.4
110年3月,康寧路3段99巷17弄26號旁,<1,<1,0.55,7.3
110年3月,八德路3段99巷12號前,<1,<1,0.55,7.3
110年3月,民權東路5段41-1號,<1,<1,0.55,7.3
110年3月,中坡南路51號,<1,<1,0.4,7.3
110年3月,建國南路1段354號,<1,<1,0.57,7.4
110年3月,師大路107號,<1,<1,0.59,7.4
110年3月,木柵路1段280號,<1,<1,0.53,7.3
110年3月,景福街19號1樓,<1,<1,0.56,7.3
110年3月,興隆路2段234號,<1,<1,0.52,7.3
110年3月,莊敬路393號,<1,<1,0.58,7.4
110年3月,西園路1段127號,<1,<1,0.56,7.4
110年3月,西寧南路124號,<1,<1,0.58,7.5
110年3月,西藏路171號,<1,<1,0.61,7.4
110年3月,長泰街8號,<1,<1,0.55,7.4
110年3月,莒光路176號,<1,<1,0.6,7.5
110年3月,萬大路423巷115號,<1,<1,0.57,7.4
110年3月,大龍街126號,<1,<1,0.48,7.3
110年3月,延平北路2段61巷16號,<1,<1,0.39,7.2
110年3月,昌吉街118號,<1,<1,0.56,7.3
110年3月,哈密街49巷口,<1,<1,0.44,7.3
110年3月,迪化街1段268號,<1,<1,0.46,7.3
110年3月,長安西路36號,<1,<1,0.32,7.3
110年3月,天母東路69巷30號,<1,<1,0.55,7.3
110年3月,至善路2段322巷口,<1,<1,0.3,7.3
110年3月,後港街38巷臨5之1號,<1,<1,0.55,7.5
110年3月,華齡街2巷口,<1,<1,0.52,7.2
110年3月,中山北路5段460巷1號,<1,<1,0.55,7.1
110年3月,行義路一段五福宮旁,<1,<1,0.4,7
110年4月,新生北路三段101號,<1,<1,0.53,7.3
110年4月,康寧路3段99巷17弄26號旁,<1,<1,0.53,7.3
110年4月,康樂街206號附近,<1,<1,0.57,7.3
110年4月,八德路3段99巷12號前,<1,<1,0.51,7.3
110年4月,民權東路5段41-1號,<1,<1,0.54,7.4
110年4月,中坡南路51號,<1,<1,0.58,7.5
110年4月,建國南路1段354號,<1,<1,0.59,7.5
110年4月,羅斯福路3段197號,<1,<1,0.63,7.5
110年4月,木柵路1段280號,<1,<1,0.62,7.4
110年4月,景福街19號1樓,<1,<1,0.59,7.4
110年4月,興隆路2段234號,<1,<1,0.67,7.4
110年4月,莊敬路393號,<1,<1,0.6,7.4
110年4月,西園路1段127號,<1,<1,0.57,7.4
110年4月,西寧南路124號,<1,<1,0.59,7.4
110年4月,西藏路171號,<1,<1,0.63,7.3
110年4月,長泰街8號,<1,<1,0.64,7.3
110年4月,莒光路176號,<1,<1,0.6,7.4
110年4月,萬大路423巷115號,<1,<1,0.59,7.3
110年4月,大龍街126號,<1,<1,0.51,7.4
110年4月,延平北路2段61巷16號,<1,<1,0.5,7.3
110年4月,昌吉街118號,<1,<1,0.58,7.3
110年4月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.54,7.3
110年4月,迪化街1段268號,<1,<1,0.5,7.3
110年4月,長安西路36號,<1,<1,0.57,7.3
110年4月,中山北路5段320號,<1,<1,0.63,7.2
110年4月,天母東路69巷30號,<1,<1,0.61,7.2
110年4月,至善路2段322巷口,<1,<1,0.34,7.4
110年4月,後港街38巷臨5之1號,<1,<1,0.54,7.1
110年4月,華齡街2巷口,<1,<1,0.52,7.2
110年4月,行義路一段五福宮旁,<1,<1,0.58,7.1
110年4月,臺北市內湖區大湖街166巷大湖公園入口旁,<1,<1,0.44,7.7
110年4月,永吉路120巷92號,<1,<1,0.62,7.5
110年4月,研究院路二段1號,<1,<1,0.41,7.8
110年4月,興東街1號對面,<1,<1,0.55,7.8
110年4月,民族東路臨41號,<1,<1,0.54,7.5
110年4月,延壽街373號,<1,<1,0.63,7.4
110年4月,臺北市松山區八德路2段364巷5弄29號對面,<1,<1,0.62,7.5
110年4月,桂林路167巷14號（三清宮）,<1,<1,0.58,7.5
110年4月,大安區四維路52巷1號對面,<1,<1,0.64,7.3
110年4月,和平東路三段308巷15弄涼亭旁,<1,<1,0.68,7.3
110年4月,思源街1號,<1,<1,0.67,7.1
110年4月,木新路3段55號,<1,<1,0.53,7.2
110年4月,羅斯福路六段268號,<1,<1,0.65,7.4
110年4月,至善路二段449號,<1,<1,0.58,7.3
110年4月,格致路198號,<1,<1,0.61,6.9
110年4月,中山北路1段110-7號,<1,<1,0.59,7.3
110年4月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.57,7.3
110年5月,新生北路三段101號,<1,<1,0.56,7.2
110年5月,康寧路3段99巷17弄26號旁,<1,<1,0.52,7.2
110年5月,康樂街236-5號附近（公車站旁）,<1,<1,0.56,7.2
110年5月,民權東路5段41-1號,<1,<1,0.6,7.2
110年5月,臺北市松山區南京東路4段52巷16弄口,<1,<1,0.54,7.1
110年5月,中坡南路51號,<1,<1,0.51,7.2
110年5月,建國南路1段354號,<1,<1,0.62,7.3
110年5月,師大路107號,<1,<1,0.61,7.3
110年5月,木柵路1段280號,<1,<1,0.65,7.2
110年5月,景福街19號1樓,<1,<1,0.61,7.2
110年5月,興隆路2段234號,<1,<1,0.62,7.2
110年5月,莊敬路393號,<1,<1,0.65,7.3
110年5月,西園路1段127號,<1,<1,0.57,7.4
110年5月,西寧南路124號,<1,<1,0.57,7.4
110年5月,西藏路171號,<1,<1,0.63,7.4
110年5月,長泰街8號,<1,<1,0.67,7.3
110年5月,莒光路176號,<1,<1,0.62,7.4
110年5月,萬大路423巷115號,<1,<1,0.56,7.3
110年5月,長興街131號,<1,<1,0.65,7.4
110年5月,思源街1號,<1,<1,0.62,7.4
110年5月,直潭路127號(直潭淨水場),<1,<1,0.62,7.1
110年5月,至善路3段110號,<1,<1,0.62,7.4
110年5月,菁山路101巷79號,<1,<1,0.67,7.5
110年5月,泉源路260號,<1,<1,0.64,7.9
110年5月,泉源路260號,<1,<1,0.58,7.4
110年5月,天母東路69巷30號,<1,<1,0.47,7.2
110年5月,至善路2段322巷口,<1,<1,0.25,7.4
110年5月,後港街38巷臨5之1號,<1,<1,0.47,7.1
110年5月,華齡街2巷口,<1,<1,0.47,7.2
110年5月,中山北路5段460巷1號,<1,<1,0.42,7
110年5月,行義路一段五福宮旁,<1,<1,0.58,7
110年5月,民族東路臨41號,<1,<1,0.37,7.2
110年5月,臺北市內湖區大湖街166巷大湖公園入口旁,<1,<1,0.51,7.2
110年5月,延壽街373號,<1,<1,0.5,7.2
110年5月,臺北市松山區八德路2段364巷5弄29號對面,<1,<1,0.58,7.2
110年5月,永吉路120巷92號,<1,<1,0.62,7.4
110年5月,研究院路二段1號,<1,<1,0.42,7.2
110年5月,興東街1號對面,<1,<1,0.47,7.4
110年5月,至善路二段449號,<1,<1,0.39,7.2
110年5月,格致路198號,<1,<1,0.52,6.8
110年5月,大安區四維路52巷1號對面,<1,<1,0.62,7.3
110年5月,和平東路三段308巷15弄涼亭旁,<1,<1,0.46,7.3
110年5月,中山北路1段110-7號,<1,<1,0.54,7.3
110年5月,思源街1號,<1,<1,0.63,7.1
110年5月,木新路3段55號,<1,<1,0.59,7.2
110年5月,羅斯福路六段268號,<1,<1,0.55,7.4
110年5月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.48,7.2
110年5月,大龍街126號,<1,<1,0.41,7.1
110年5月,延平北路2段61巷16號,<1,<1,0.43,7.1
110年5月,昌吉街118號,<1,<1,0.43,7
110年5月,哈密街59巷﹝龍塘綠地﹞,<1,<1,0.52,7
110年5月,迪化街1段268號,<1,<1,0.43,7.1
110年5月,長安西路36號,<1,<1,0.35,7.1
110年6月,至善路3段110號,<1,<1,0.66,7.2
110年6月,菁山路101巷79號,<1,4,0.65,6.8
110年6月,泉源路260號,<1,<1,0.64,7
110年6月,鹿角坑加壓站 竹子湖路75-1號對面,<1,<1,0.62,7.6
110年6月,大湖街116巷內,<1,<1,0.57,7.3
110年6月,承德路七段388號對面﹝北投加壓站﹞,<1,<1,0.54,7.3
110年6月,永吉路120巷92號,<1,<1,0.53,7.4
110年6月,研究院路二段1號,<1,<1,0.49,7.1
110年6月,興東街1號對面,<1,<1,0.52,7.3
110年6月,哈密街49巷口,<1,<1,0.56,7.2
110年6月,大安區四維路52巷1號對面,<1,<1,0.52,7.5
110年6月,和平東路三段308巷15弄涼亭旁,<1,<1,0.48,7.4
