hospital_name,city,district,address,tel,lng,lat
國立台灣大學醫學院附設醫院,臺北市,中正區,臺北市中正區中山南路７號,(02)23123456,121.518555,25.040776
臺北市立聯合醫院（和平婦幼院區）,臺北市,中正區,臺北市中正區中華路二段３３號,(02)23889595,121.511534,25.024279
西園醫院,臺北市,萬華區,臺北市萬華區西園路二段２７６號,(02)23076968,121.494347,25.027645
臺北市立聯合醫院（中興院區）,臺北市,大同區,臺北市大同區鄭州路１４５號,(02)25523234,121.508885,25.050693
振興醫療財團法人振興醫院,臺北市,北投區,臺北市北投區振興街４５號,(02)28264400,121.523114,25.116369
臺北榮民總醫院,臺北市,北投區,臺北市北投區石牌路二段２０１號,(02)28712121,121.522479,25.120637
博仁綜合醫院,臺北市,松山區,臺北市松山區光復北路６６號,(02)25786677,121.557692,25.049904
三軍總醫院松山分院附設民眾診療服務處,臺北市,松山區,臺北市松山區健康路１３１號,(02)27642151,121.557702,25.05394
基督復臨安息日會醫療財團法人臺安醫院,臺北市,松山區,臺北市松山區八德路二段４２４號,(02)27718151,121.547274,25.048054
臺北醫學大學附設醫院,臺北市,信義區,臺北市信義區吳興街２５２號,(02)27372181,121.563635,25.026639
財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,臺北市,中山區,臺北市中山區中山北路二段９２號,(02)25433535,121.52285,25.060446
臺北市立萬芳醫院,臺北市,文山區,臺北市文山區興隆路三段１１１號,(02)29307930,121.557849,25.000833
臺北市立聯合醫院（忠孝院區）,臺北市,南港區,臺北市南港區同德路８７號,(02)27861288,121.586154,25.046508
臺北市立聯合醫院（仁愛院區）,臺北市,大安區,臺北市大安區仁愛路四段１０號,(02)27093600,121.554474,25.038857
國泰醫療財團法人國泰綜合醫院,臺北市,大安區,臺北市大安區仁愛路四段２６６巷６號,(02)27082121,121.552799,25.037179
新光醫療財團法人新光吳火獅紀念醫院,臺北市,士林區,臺北市士林區文昌路９５號,(02)28332211,121.520986,25.09625
臺北市立聯合醫院（陽明院區）,臺北市,士林區,臺北市士林區雨聲街１０５號,(02)28353456,121.531563,25.105195
三軍總醫院附設民眾診療服務處,臺北市,內湖區,臺北市內湖區成功路二段３２５號,(02)87923311,121.591979,25.071802
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市,板橋區,新北市板橋區南雅南路2段21號,(02)89667000,121.451983,24.997441
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市,淡水區,新北市淡水區民生路45號,(02)28094661,121.460499,25.139535
衛生福利部雙和醫院（委託臺北醫學大學興建經營）,新北市,中和區,新北市中和區中正路291號,(02)22490088,121.494040,24.993751
佛教慈濟醫療財團法人台北慈濟醫院,新北市,新店區,新北市新店區建國路289號,(02)66289779,121.535808,24.985781
天主教耕莘醫療財團法人耕莘醫院,新北市,新店區,新北市新店區中正路362號,(02)22193391,121.535551,24.976120
輔仁大學學校財團法人輔仁大學附設醫院,新北市,泰山區,新北市泰山區貴子路69號,(02)85128888,121.430799,25.039676
新北市立土城醫院（委託長庚醫療財團法人興建經營）,新北市,土城區,新北市土城區金城路2段6號,(02)22630588,121.448730,24.976437
衛生福利部臺北醫院,新北市,新莊區,新北市新莊區思源路127號,(02)22765566,121.459623,25.043241
行天宮醫療志業醫療財團法人恩主公醫院,新北市,三峽區,新北市三峽區復興路399號,(02)26723456,121.363008,24.938386
國泰醫療財團法人汐止國泰綜合醫院,新北市,汐止區,新北市汐止區建成路59巷2號,(02)26482121,121.661084,25.072872
新北市立聯合醫院（三重院區）,新北市,三重區,新北市三重區新北大道一段3號,(02)29829111,121.490202,25.061139
天主教耕莘醫療財團法人永和耕莘醫院,新北市,永和區,新北市永和區中興街80號,(02)29286060,121.518431,25.012126
天主教耕莘醫療財團法人耕莘醫院安康院區,新北市,新店區,新北市新店區車子路15號,(02)22123066,121.504537,24.953977
國立臺灣大學醫學院附設醫院金山分院,新北市,金山區,新北市金山區五湖里玉爐路7號,(02)24989898,121.628398,25.219650
衛生福利部樂生醫院,新北市,新莊區,新北市新莊區中正路794號,(02)82006600,121.409851,25.021622
瑞芳礦工醫院,新北市,瑞芳區,新北市瑞芳區一坑路71之2號,(02)24974101,121.802170,25.108602
仁愛醫院,新北市,樹林區,新北市樹林區文化街9號,(02)26834567,121.420039,24.987188
新泰綜合醫院,新北市,新莊區,新北市新莊區新樹路176號,(02)29962121,121.434313,25.021504
宏仁醫院,新北市,三重區,新北市三重區水漾路一段158號,(02)29788877,121.483780,25.053965
