city,record_id,inspection_date,inspection_item,food_category,product_name,vendor_name,district,address,lng,lat,result,violation_detail,sampled_place
臺北市,175,2025-12-09,網購年菜,脫水或乾燥蔬菜,猴頭菇,代理商：爾邦德股份有限公司,信義區,高雄市梓官區大舍東路300巷26號,,,不符合規定,品質不符規定:檢出殘留農藥生長調節劑-克美素(Chlormequat) 0.12ppm(標準值：不得檢出),代理商：爾邦德股份有限公司/高雄市梓官區大舍東路300巷26號
臺北市,177,2025-12-08,網購年菜,脫水或乾燥蔬菜,巴西蘑菇,金海相商行,信義區,屏東縣南州鄉溪洲村新興路2巷7號,,,不符合規定,品質不符規定:檢出殘留農藥殺菌劑撲滅寧(Procymidone) 0.10ppm(標準值：0.05ppm),金海相商行/屏東縣南州鄉溪洲村新興路2巷7號
臺北市,182,2025-12-04,年節食品,蕈菜類,乾巴西蘑菇,同岳軒小吃店(同岳軒),北投區,臺北市北投區中央北路4段532號1樓,,,不符合規定,重金屬鎘4mg/kg（標準：2mg/kg以下）,同岳軒小吃店(同岳軒)/臺北市北投區中央北路4段532號1樓
臺北市,183,2025-12-04,年節食品,肉品及其加工品,香辣牛肉干,鑫龍肉脯行,文山區,臺北市文山區木新路3段310巷4號木新市場第26號攤,,,不符合規定,防腐劑己二烯酸2.18g/kg（標準：2.0g/kg以下）,鑫龍肉脯行/臺北市文山區木新路3段310巷4號木新市場第26號攤
臺北市,186,2025-12-04,網購年菜,脫水或乾燥蔬菜,鹿茸菇,邱O景,士林區,臺北市士林區中正路655巷3弄O號O樓,,,不符合規定,品質不符規定:檢出殘留農藥殺菌劑-撲滅寧（Procymidone）：0.08ppm（標準：0.05ppm以下）,邱O景/臺北市士林區中正路655巷3弄O號O樓
臺北市,187,2025-12-04,網購年菜,其他脫水或乾燥蔬果製品,巴西蘑菇,五全食品行,信義區,新北市板橋區居仁里光環路2段58號17樓,,,不符合規定,品質不符規定:檢出重金屬鎘：8 mg/kg（標準：2mg/kg以下）及殘留農藥殺菌劑-貝芬替（Carbendazim）：0.8 ppm（0.5 ppm以下）,五全食品行/新北市板橋區居仁里光環路2段58號17樓
臺北市,188,2025-12-04,網購年菜,其他脫水或乾燥蔬果製品,茶樹菇,德順辰記香菇行,信義區,高雄市三民區鳳北里004鄰三德西街37號,,,不符合規定,品質不符規定:檢出殘留農藥殺菌劑-芬普尼（Fipronil）：0.434 ppm、芬普尼代謝物（Fipronil-sulfone）：0.063（標準合併計算：0.002ppm以下）、殺蟲劑-賽洛寧（λ-Cyhalothrin）：0.12 ppm（標準：0.03 ppm以下）,德順辰記香菇行/高雄市三民區鳳北里004鄰三德西街37號
臺北市,192,2025-12-04,網購年菜,脫水或乾燥蔬菜,茶樹菇,台瑞格有限公司,信義區,基隆市中正區新豐里新豐街338號,,,不符合規定,品質不符規定:檢出殘留農藥殺蟲劑可尼丁（Clothianidin）：4.12ppm （標準：0.05ppm以下）,台瑞格有限公司/基隆市中正區新豐里新豐街338號
臺北市,194,2025-12-04,網購年菜,軟糖,金元寶軟糖,蓬萊寶島食品有限公司,信義區,臺中市后里區四月路13之2號,,,不符合規定,標示不符:檢出食用黃色四號及黃色五號惟外包裝成分未標示,蓬萊寶島食品有限公司/臺中市后里區四月路13之2號
臺北市,224,2025-12-03,年節食品,堅果加工品類,香瓜子（有效日期：2026.05.15）,勝隆南北雜貨行(勝隆行),大同區,臺北市大同區迪化街1段258號1樓,,,不符合規定,檢出甜味劑蔗糖素，惟外包裝成分未標示,勝隆南北雜貨行(勝隆行)/臺北市大同區迪化街1段258號1樓
臺北市,225,2025-12-03,年節食品,竹笙,竹笙（有效日期：20270324）,臺北嘉佩樂酒店,松山區,臺北市松山區敦化北路139號1樓,,,不符合規定,重金屬鎘4mg/kg（標準：2mg/kg以下）,臺北嘉佩樂酒店/臺北市松山區敦化北路139號1樓
臺北市,226,2025-12-03,網購年菜,冷凍冷藏水餃,高麗菜韭黃豬肉餃子,買多多國際股份有限公司,信義區,新北市新店區新坡一街81號17樓,,,不符合規定,標示不符:產品包裝未標示製造廠商或國內負責廠商地址,買多多國際股份有限公司/新北市新店區新坡一街81號17樓
