city,district,year,cases
臺北市,中山區,97,244
臺北市,中正區,97,122
臺北市,信義區,97,209
臺北市,內湖區,97,341
臺北市,其他,97,5
臺北市,北投區,97,202
臺北市,南港區,97,78
臺北市,士林區,97,240
臺北市,大同區,97,100
臺北市,大安區,97,229
臺北市,文山區,97,262
臺北市,松山區,97,228
臺北市,萬華區,97,140
臺北市,中山區,98,331
臺北市,中正區,98,116
臺北市,信義區,98,196
臺北市,內湖區,98,369
臺北市,其他,98,6
臺北市,北投區,98,304
臺北市,南港區,98,102
臺北市,士林區,98,282
臺北市,大同區,98,99
臺北市,大安區,98,275
臺北市,文山區,98,262
臺北市,松山區,98,301
臺北市,萬華區,98,146
臺北市,中山區,99,168
臺北市,中正區,99,111
臺北市,信義區,99,115
臺北市,內湖區,99,259
臺北市,其他,99,16
臺北市,北投區,99,332
臺北市,南港區,99,90
臺北市,士林區,99,251
臺北市,大同區,99,78
臺北市,大安區,99,203
臺北市,文山區,99,251
臺北市,松山區,99,134
臺北市,萬華區,99,207
臺北市,中山區,100,186
臺北市,中正區,100,121
臺北市,信義區,100,153
臺北市,內湖區,100,267
臺北市,其他,100,18
臺北市,北投區,100,205
臺北市,南港區,100,72
臺北市,士林區,100,287
臺北市,大同區,100,71
臺北市,大安區,100,235
臺北市,文山區,100,326
臺北市,松山區,100,127
臺北市,萬華區,100,194
臺北市,中山區,101,188
臺北市,中正區,101,123
臺北市,信義區,101,130
臺北市,內湖區,101,241
臺北市,其他,101,5
臺北市,北投區,101,195
臺北市,南港區,101,73
臺北市,士林區,101,217
臺北市,大同區,101,58
臺北市,大安區,101,217
臺北市,文山區,101,272
臺北市,松山區,101,97
臺北市,萬華區,101,181
臺北市,中山區,102,152
臺北市,中正區,102,123
臺北市,信義區,102,152
臺北市,內湖區,102,314
臺北市,其他,102,0
臺北市,北投區,102,220
臺北市,南港區,102,84
臺北市,士林區,102,241
臺北市,大同區,102,108
臺北市,大安區,102,211
臺北市,文山區,102,191
臺北市,松山區,102,142
臺北市,萬華區,102,148
臺北市,中山區,103,49
臺北市,中正區,103,15
臺北市,信義區,103,22
臺北市,內湖區,103,37
臺北市,其他,103,0
臺北市,北投區,103,36
臺北市,南港區,103,13
臺北市,士林區,103,47
臺北市,大同區,103,24
臺北市,大安區,103,36
臺北市,文山區,103,35
臺北市,松山區,103,19
臺北市,萬華區,103,33
臺北市,中山區,104,18
臺北市,中正區,104,7
臺北市,信義區,104,11
臺北市,內湖區,104,10
臺北市,其他,104,0
臺北市,北投區,104,18
臺北市,南港區,104,5
臺北市,士林區,104,13
臺北市,大同區,104,15
臺北市,大安區,104,21
臺北市,文山區,104,15
臺北市,松山區,104,14
臺北市,萬華區,104,13
臺北市,中山區,105,22
臺北市,中正區,105,18
臺北市,信義區,105,29
臺北市,內湖區,105,24
臺北市,其他,105,0
臺北市,北投區,105,31
臺北市,南港區,105,13
臺北市,士林區,105,33
臺北市,大同區,105,17
臺北市,大安區,105,35
臺北市,文山區,105,39
臺北市,松山區,105,17
臺北市,萬華區,105,23
臺北市,中山區,106,21
臺北市,中正區,106,10
臺北市,信義區,106,20
臺北市,內湖區,106,12
臺北市,其他,106,0
臺北市,北投區,106,34
臺北市,南港區,106,8
臺北市,士林區,106,23
臺北市,大同區,106,15
臺北市,大安區,106,17
臺北市,文山區,106,15
臺北市,松山區,106,10
臺北市,萬華區,106,20
臺北市,中山區,107,20
臺北市,中正區,107,9
臺北市,信義區,107,14
臺北市,內湖區,107,17
臺北市,其他,107,0
臺北市,北投區,107,33
臺北市,南港區,107,12
臺北市,士林區,107,44
臺北市,大同區,107,7
臺北市,大安區,107,25
臺北市,文山區,107,28
臺北市,松山區,107,16
臺北市,萬華區,107,15
臺北市,中山區,108,23
臺北市,中正區,108,16
臺北市,信義區,108,21
臺北市,內湖區,108,25
