station_id,station_name,district,address,lat,lng,tot_quantity,sbi_quantity,bemp,act,data_time,yb2_quantity,eyb_quantity
500201001,YouBike2.0_下庄市場,八里區,舊城路21號(前),25.14678,121.3999,20,1,17,1,2026-04-28 14:23:02,0,1
500201002,YouBike2.0_八里行政中心,八里區,十三行路(靠中山路二段路口西南側人行道),25.15397,121.40721,20,8,12,1,2026-04-28 13:44:02,7,1
500201003,YouBike2.0_八里中庄市場綜合大樓,八里區,中山路一段268巷2號(對面汽車停車場),25.15993,121.41407,28,12,16,1,2026-04-28 13:14:03,9,3
500201004,YouBike2.0_大崁國小,八里區,忠八街2號(前),25.16064,121.41938,20,8,11,1,2026-04-28 14:18:02,6,2
500201006,YouBike2.0_龍形停車場,八里區,龍米路一段318號(對面停車場),25.13041,121.4513,40,6,34,1,2026-04-28 14:21:03,5,1
500201007,YouBike2.0_十三行博物館,八里區,博物館路183號(對面),25.157,121.406,46,5,40,1,2026-04-28 14:27:02,5,0
500201008,YouBike2.0_八里區民活動中心,八里區,中山路二段356巷12號(旁),25.14933,121.40126,14,6,7,1,2026-04-28 13:14:03,3,3
500201009,YouBike2.0_挖仔尾自然生態保留區,八里區,博物館路/挖仔尾街口(西側),25.16419,121.41586,15,5,10,1,2026-04-28 13:57:02,5,0
500201010,YouBike2.0_文昌公園,八里區,中山路二段/文昌路(東側),25.15709,121.41033,15,1,13,1,2026-04-28 13:52:17,1,0
500201011,YouBike2.0_八里國小,八里區,中山路二段251號(對面),25.14896,121.4026,15,1,12,1,2026-04-28 13:26:20,1,0
500201012,YouBike2.0_八里文化公園(棒球場),八里區,忠孝路與挖仔街口(棒球場公園入口),25.16359,121.41251,60,5,53,1,2026-04-28 14:22:03,5,0
500201013,YouBike2.0_水興公,八里區,觀海大道/忠四街(北側),25.16208,121.42509,15,14,1,1,2026-04-28 14:29:19,13,1
500201014,YouBike2.0_片仔溝公園,八里區,中華路二段210號旁,25.15020,121.40581,20,3,17,1,2026-04-28 14:22:03,2,1
500201015,YouBike2.0_八里福朋喜來登酒店,八里區,觀海大道8號,25.15922,121.42945,30,7,23,1,2026-04-28 14:24:04,0,7
500201016,YouBike2.0_訊塘社區公園,八里區,商港路/中山路二段口(東北側),25.14550,121.39609,13,6,7,1,2026-04-28 13:00:04,6,0
500201017,YouBike2.0_商港公園(商港八商港一路口),八里區,商港八路/商港一路口,25.15039,121.40026,15,12,3,1,2026-04-28 13:41:02,11,1
500201018,YouBike2.0_商港公園(商港七商港一路口),八里區,商港七路/商港一路口,25.14916,121.39841,15,7,8,1,2026-04-28 11:51:03,6,1
500201019,YouBike2.0_渡船頭平面停車場,八里區,渡船頭路/龍米路二段口(西北側),25.15687,121.43527,33,12,21,1,2026-04-28 14:12:03,7,5
500201020,YouBike2.0_訊塘廣場(義民中華路口),八里區,義民街/中華路三段口,25.14256,121.39564,21,5,16,1,2026-04-28 11:54:02,5,0
500201021,YouBike2.0_八里停五平面停車場,八里區,賢三街/大崁二街口(西南側),25.15779,121.41758,30,8,22,1,2026-04-28 14:07:04,8,0
